time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-02-26,22.7,16.3,29.2,37,0.0,,10.4,,1007.3,,
2021-02-27,21.7,18.5,32.7,43,3.0,,11.5,,1007.0,,
2021-02-28,19.3,11.1,29.6,35,0.0,,6.7,,1010.4,,
2021-03-01,18.2,11.6,24.7,37,0.0,,12.8,,1013.6,,
2021-03-02,20.0,14.9,26.1,40,0.0,,18.4,,1013.2,,
2021-03-03,20.9,15.8,27.3,38,0.0,,14.9,,1011.5,,
2021-03-04,20.5,13.8,28.5,37,0.0,,8.8,,1011.8,,
2021-03-05,21.3,15.5,28.4,33,0.0,,15.6,,1011.0,,
2021-03-06,21.5,15.7,28.7,35,0.0,,13.3,,1010.1,,
2021-03-07,24.3,17.6,30.7,35,0.0,,16.3,,1009.9,,
2021-03-08,24.8,19.8,31.1,45,0.0,,13.9,,1012.4,,
2021-03-09,22.7,16.4,29.7,42,0.0,,7.4,,1012.8,,
2021-03-10,21.9,15.4,30.7,40,0.0,,6.9,,1012.4,,
2021-03-11,22.1,14.9,30.1,39,0.0,,5.4,,1013.5,,
2021-03-12,21.2,16.1,28.1,40,0.1,,6.9,,1015.8,,
2021-03-13,22.2,14.6,29.6,40,0.0,,10.0,,1015.6,,
2021-03-14,21.6,15.5,28.2,47,0.0,,12.9,,1012.2,,
2021-03-15,22.4,17.2,29.5,46,0.0,,12.4,,1011.3,,
2021-03-16,23.4,17.0,30.0,41,0.0,,13.6,,1011.2,,
2021-03-17,24.4,18.1,34.0,40,0.0,,11.5,,1010.5,,
2021-03-18,22.6,15.1,30.6,38,0.0,,6.8,,1010.9,,
2021-03-19,23.5,15.6,30.9,35,0.0,,10.7,,1010.1,,
2021-03-20,23.7,17.1,30.4,38,0.0,,11.8,,1008.5,,
2021-03-21,23.1,16.1,30.0,44,0.0,,8.9,,1009.1,,
2021-03-22,23.4,17.6,30.6,38,2.0,,15.5,,1012.2,,
2021-03-23,20.4,18.0,30.1,43,1.0,,12.6,,1013.7,,
2021-03-24,22.8,13.6,31.1,39,2.0,,9.9,,1014.2,,
2021-03-25,21.1,14.2,31.1,44,0.0,,13.8,,1013.0,,
2021-03-26,23.4,16.0,32.0,46,0.0,,12.9,,1011.1,,
2021-03-27,24.9,16.0,33.0,48,0.0,,8.1,,1009.8,,
2021-03-28,25.8,18.1,33.0,46,0.0,,9.0,,1007.3,,
2021-03-29,27.2,21.4,33.2,38,0.0,,14.9,,1004.6,,
2021-03-30,27.2,20.5,34.3,31,0.0,,11.5,,1000.1,,
2021-03-31,24.7,19.0,30.4,29,0.0,,18.2,,1000.9,,
2021-04-01,22.2,15.2,29.0,27,0.0,,15.5,,1002.4,,
2021-04-02,21.7,14.4,29.5,20,0.0,,10.4,,1005.7,,
2021-04-03,22.1,12.9,30.5,21,0.0,,11.8,,1008.7,,
2021-04-04,25.5,14.6,33.8,20,0.0,,11.9,,1008.9,,
2021-04-05,28.4,23.8,33.8,24,0.0,,16.0,,1008.7,,
2021-04-06,27.7,20.3,33.1,28,0.0,,10.5,,1007.6,,
2021-04-07,26.3,18.2,35.2,29,3.0,,9.2,,1009.9,,
2021-04-08,24.9,17.1,34.8,26,0.0,,10.2,,1008.5,,
2021-04-09,25.0,17.2,32.9,25,0.0,,10.8,,1009.5,,
2021-04-10,25.9,17.2,33.5,18,0.0,,11.1,,1010.8,,
2021-04-11,27.0,17.7,35.0,20,0.0,,12.2,,1011.0,,
2021-04-12,26.9,19.6,34.4,24,0.0,,11.4,,1011.8,,
